country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Martinique,North America,11960,95.0,98,11767,9.0,31893,253.0,178549.0,476129.0,375001
Mauritania,Africa,19407,462.0,18403,542,14.0,4077,97.0,265005.0,55678.0,4759572
Mauritius,Africa,1356,17.0,1181,158,,1065,13.0,358675.0,281605.0,1273681
Mayotte,Africa,20176,171.0,2964,17041,6.0,72383,613.0,176919.0,634712.0,278739
Mexico,North America,2408778,223068.0,1923744,261966,4798.0,18507,1714.0,7017606.0,53916.0,130157316
Micronesia,Australia/Oceania,1,,1,0,,9,,,,116113
Moldova,Europe,255060,6097.0,247240,1723,96.0,63362,1515.0,1098233.0,272822.0,4025458
Monaco,Europe,2503,32.0,2463,8,2.0,63377,810.0,51953.0,1315466.0,39494
Mongolia,Asia,56621,268.0,49320,7033,99.0,17024,81.0,2925707.0,879666.0,3325930
Montenegro,Europe,99518,1580.0,97010,928,60.0,158433,2515.0,410104.0,652888.0,628138
Montserrat,North America,20,1.0,19,0,,4004,200.0,1408.0,281882.0,4995
Morocco,Africa,518458,9135.0,506443,2880,96.0,13897,245.0,6470594.0,173447.0,37305888
Mozambique,Africa,70697,835.0,69232,630,18.0,2206,26.0,551014.0,17196.0,32042494
Myanmar,Asia,143486,3216.0,132279,7991,,2621,59.0,2617696.0,47821.0,54739902
Namibia,Africa,54268,807.0,50053,3408,51.0,21015,312.0,428907.0,166088.0,2582402
Nepal,Asia,549111,7047.0,428670,113394,,18545,238.0,3017377.0,101906.0,29609424
Netherlands,Europe,1641318,17607.0,1463716,159995,516.0,95597,1025.0,13797380.0,803611.0,17169226
New Caledonia,Australia/Oceania,128,,58,70,,444,,33057.0,114789.0,287980
New Zealand,Australia/Oceania,2670,26.0,2623,21,,534,5.0,2126807.0,425183.0,5002100
Nicaragua,North America,7324,186.0,4225,2913,,1094,28.0,,,6695772
Niger,Africa,5406,192.0,5071,143,2.0,216,8.0,106712.0,4270.0,24992008
Nigeria,Africa,166254,2071.0,156546,7637,11.0,789,10.0,2093243.0,9933.0,210736813
Norway,Europe,124410,783.0,88952,34675,18.0,22787,143.0,5635246.0,1032173.0,5459592
Oman,Asia,213784,2303.0,197080,14401,239.0,40928,441.0,1550000.0,296738.0,5223461
Pakistan,Asia,916239,20680.0,836702,58857,4083.0,4077,92.0,13113393.0,58344.0,224758649
Panama,North America,376854,6365.0,364297,6192,105.0,86117,1455.0,2632922.0,601664.0,4376067
Papua New Guinea,Australia/Oceania,15772,162.0,14857,753,,1733,18.0,112995.0,12417.0,9099821
Paraguay,South America,348184,8892.0,286005,53287,594.0,48280,1233.0,1274748.0,176761.0,7211696
Peru,South America,1947555,68978.0,1720665,157912,2687.0,58333,2066.0,12733231.0,381387.0,33386618
Philippines,Asia,1209154,20566.0,1134818,53770,1704.0,10903,185.0,13253027.0,119506.0,110898404
Poland,Europe,2870595,73557.0,2634711,162327,805.0,75924,1945.0,15765052.0,416965.0,37809020
Portugal,Europe,847604,17023.0,808047,22534,52.0,83346,1674.0,11648463.0,1145405.0,10169734
Qatar,Asia,216885,552.0,212379,3954,137.0,77244,197.0,2012989.0,716926.0,2807805
Reunion,Africa,24901,189.0,22796,1916,35.0,27634,210.0,102720.0,113995.0,901094
Romania,Europe,1077161,30174.0,1037729,9258,459.0,56333,1578.0,9005349.0,470963.0,19121151
Russia,Europe,5044459,120406.0,4661234,262819,2300.0,34553,825.0,137100000.0,939098.0,145991189
Rwanda,Africa,26878,352.0,25542,984,3.0,2030,27.0,1431829.0,108135.0,13241114
Saint Barthelemy,North America,1005,1.0,462,542,,101474,101.0,26385.0,2664075.0,9904
Saint Helena,Africa,2,,2,0,,328,,,,6093
Saint Kitts And Nevis,North America,68,,45,23,,1270,,16036.0,299520.0,53539
Saint Lucia,North America,5035,77.0,4772,186,1.0,27307,418.0,45904.0,248955.0,184387
Saint Martin,North America,1915,12.0,1399,504,7.0,48776,306.0,27588.0,702682.0,39261
Saint Pierre And Miquelon,North America,25,,25,0,,4334,,5736.0,994452.0,5768
Saint Vincent And The Grenadines,North America,2014,12.0,1831,171,2.0,18102,108.0,48665.0,437403.0,111259
Samoa,Australia/Oceania,3,,3,0,,15,,,,199607
San Marino,Europe,5089,90.0,4995,4,4.0,149694,2647.0,65149.0,1916373.0,33996
Sao Tome And Principe,Africa,2344,37.0,2288,19,,10519,166.0,13418.0,60217.0,222829
Saudi Arabia,Asia,447178,7320.0,429663,10195,1355.0,12667,207.0,18968030.0,537289.0,35303214
Senegal,Africa,41296,1138.0,39932,226,4.0,2409,66.0,514043.0,29990.0,17140741
Serbia,Europe,711772,6834.0,693585,11353,59.0,81762,785.0,4128117.0,474200.0,8705431
Seychelles,Africa,11145,40.0,9936,1169,,112692,404.0,21504.0,217436.0,98898
Sierra Leone,Africa,4140,79.0,3128,933,,510,10.0,153257.0,18867.0,8123165
Singapore,Asia,62003,32.0,61407,564,3.0,10523,5.0,11470986.0,1946885.0,5891968
Sint Maarten,North America,2411,28.0,2307,76,2.0,55661,646.0,28642.0,661234.0,43316
Slovakia,Europe,389440,12333.0,374829,2278,102.0,71299,2258.0,2821167.0,516504.0,5462039
Slovenia,Europe,253140,4370.0,244153,4617,79.0,121749,2102.0,1271894.0,611724.0,2079197
Solomon Islands,Australia/Oceania,20,,20,0,,28,,4500.0,6410.0,702042
Somalia,Africa,14647,768.0,6717,7162,,899,47.0,129762.0,7965.0,16291776
South Africa,Africa,1654551,56293.0,1551520,46738,546.0,27583,938.0,11535429.0,192308.0,59984227
South Korea,Asia,139431,1951.0,129739,7741,160.0,2717,38.0,9733591.0,189705.0,51309179
South Sudan,Africa,10688,115.0,10514,59,,945,10.0,164472.0,14539.0,11312317
Spain,Europe,3668658,79905.0,3424911,163842,1426.0,78438,1708.0,49708830.0,1062809.0,46771195
Sri Lanka,Asia,177711,1363.0,146362,29986,,8268,63.0,3393033.0,157855.0,21494560
State Of Palestine,Asia,307569,3489.0,300125,3955,45.0,59055,670.0,1817835.0,349035.0,5208175
Sudan,Africa,35289,2600.0,27949,4740,,788,58.0,232965.0,5203.0,44770925
Suriname,South America,14305,282.0,11333,2690,35.0,24189,477.0,61479.0,103957.0,591386
Swaziland,Africa,18587,672.0,17855,60,8.0,15872,574.0,208021.0,177640.0,1171024
Sweden,Europe,1068473,14413.0,953133,100927,214.0,105203,1419.0,9762557.0,961235.0,10156264
Switzerland,Europe,693023,10801.0,645322,36900,134.0,79549,1240.0,7630534.0,875876.0,8711891
Syria,Asia,24410,1758.0,21588,1064,,1365,98.0,103566.0,5791.0,17883253
Taiwan,Asia,7315,78.0,1133,6104,,307,3.0,610865.0,25607.0,23855839
Tajikistan,Asia,13308,90.0,13218,0,,1368,9.0,,,9730552
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61263235
Thailand,Asia,149779,988.0,102311,46480,1169.0,2141,14.0,8124896.0,116139.0,69958669
Timor Leste,Asia,6622,15.0,3915,2692,,4938,11.0,92122.0,68692.0,1341084
Togo,Africa,13432,125.0,12644,663,,1589,15.0,332536.0,39338.0,8453390
Trinidad And Tobago,North America,22620,458.0,12970,9192,22.0,16116,326.0,178294.0,127027.0,1403593
Tunisia,Africa,341952,12513.0,299771,29668,408.0,28662,1049.0,1460480.0,122417.0,11930414
Turkey,Asia,5228322,47134.0,5083099,98089,1454.0,61395,553.0,53478278.0,627979.0,85159401
Turks And Caicos Islands,North America,2411,17.0,2380,14,2.0,61521,434.0,83422.0,2128655.0,39190
Uganda,Africa,45231,361.0,43401,1469,24.0,962,8.0,1095468.0,23289.0,47037792
UK,Europe,4477705,127768.0,4284613,65324,120.0,65647,1873.0,181453219.0,2660258.0,68208871
Ukraine,Europe,2199769,50388.0,2030415,118966,177.0,50575,1158.0,10131355.0,232930.0,43495200
United Arab Emirates,Asia,565451,1668.0,545229,18554,,56554,167.0,49701568.0,4970965.0,9998375
Uruguay,South America,282198,4118.0,242661,35419,542.0,80984,1182.0,2196594.0,630366.0,3484635
USA,North America,34022657,608961.0,27767040,5646656,6524.0,102244,1830.0,478141417.0,1436897.0,332759663
Uzbekistan,Asia,99844,688.0,95529,3627,23.0,2945,20.0,1377915.0,40638.0,33907148
Vanuatu,Australia/Oceania,4,1.0,3,0,,13,3.0,23000.0,73340.0,313606
Venezuela,South America,230147,2595.0,212199,15353,316.0,8114,91.0,3359014.0,118430.0,28362841
Viet Nam,Asia,6713,47.0,2896,3770,,68,,4337689.0,44203.0,98130662
Wallis And Futuna Islands,Australia/Oceania,445,7.0,438,0,,40235,633.0,19209.0,1736799.0,11060
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,610555
Yemen,Asia,6723,1316.0,3375,2032,23.0,221,43.0,62990.0,2071.0,30417585
Zambia,Africa,94430,1275.0,91443,1712,82.0,5010,68.0,1538730.0,81644.0,18846714
Zimbabwe,Africa,38918,1592.0,36563,763,1.0,2584,106.0,469122.0,31154.0,15058267
